prompt,response,instructions
"Player has 3615 hp and 88 mp. Enemy has 536 hp and 229 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 1745 hp and 130 mp. Enemy has 3947 hp and 524 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 2417 hp and 1 mp. Enemy has 2538 hp and 735 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [grenade],Consider using [grenade] for more damage.
"Player has 4072 hp and 129 mp. Enemy has 3612 hp and 267 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 617 hp and 9 mp. Enemy has 1155 hp and 752 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [grenade],You should use a [potion] to heal.
"Player has 4828 hp and 124 mp. Enemy has 3894 hp and 783 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [thunder spell],Consider using [meteor spell] for more damage.
"Player has 1014 hp and 110 mp. Enemy has 432 hp and 211 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 3055 hp and 97 mp. Enemy has 981 hp and 582 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 1667 hp and 1 mp. Enemy has 900 hp and 46 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [attack],Consider using [grenade] for more damage.
"Player has 1202 hp and 50 mp. Enemy has 3612 hp and 172 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 1270 hp and 76 mp. Enemy has 39 hp and 635 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 1959 hp and 53 mp. Enemy has 78 hp and 645 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 4217 hp and 68 mp. Enemy has 2471 hp and 127 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 1629 hp and 123 mp. Enemy has 4264 hp and 144 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 3871 hp and 94 mp. Enemy has 4472 hp and 681 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 3453 hp and 96 mp. Enemy has 648 hp and 181 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 2264 hp and 21 mp. Enemy has 2137 hp and 548 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [grenade] for more damage.
"Player has 2634 hp and 117 mp. Enemy has 4875 hp and 219 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [thunder spell],Consider using [meteor spell] for more damage.
"Player has 2902 hp and 131 mp. Enemy has 732 hp and 58 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 2621 hp and 65 mp. Enemy has 1723 hp and 787 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 2233 hp and 76 mp. Enemy has 4595 hp and 238 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 2080 hp and 76 mp. Enemy has 364 hp and 279 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 4126 hp and 47 mp. Enemy has 4929 hp and 510 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 4233 hp and 76 mp. Enemy has 1048 hp and 144 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 411 hp and 100 mp. Enemy has 2011 hp and 332 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [thunder spell],You should use [cura spell] to heal more HP.
"Player has 4510 hp and 108 mp. Enemy has 3321 hp and 777 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 1988 hp and 91 mp. Enemy has 77 hp and 662 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 2369 hp and 133 mp. Enemy has 4935 hp and 239 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 540 hp and 3 mp. Enemy has 1089 hp and 21 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [attack],You should use a [potion] to heal.
"Player has 1613 hp and 51 mp. Enemy has 3204 hp and 294 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [thunder spell],Consider using [meteor spell] for more damage.
"Player has 4840 hp and 131 mp. Enemy has 2061 hp and 85 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 93 hp and 124 mp. Enemy has 1653 hp and 569 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [grenade],You should use [cura spell] to heal more HP.
"Player has 4199 hp and 56 mp. Enemy has 3967 hp and 494 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 777 hp and 43 mp. Enemy has 3769 hp and 100 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [grenade],You should use [cura spell] to heal more HP.
"Player has 1119 hp and 9 mp. Enemy has 2916 hp and 243 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [elixer],Consider using [grenade] for more damage.
"Player has 256 hp and 30 mp. Enemy has 4953 hp and 645 mp. Available actions: attack, fire spell, thunder spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [attack],Consider using [thunder spell] for more damage.
"Player has 19 hp and 3 mp. Enemy has 2785 hp and 757 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [elixer],You should use [elixer] to fully restore health and MP.
"Player has 2602 hp and 100 mp. Enemy has 2982 hp and 639 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 1562 hp and 95 mp. Enemy has 513 hp and 710 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 2383 hp and 60 mp. Enemy has 2638 hp and 474 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [elixer],Consider using [meteor spell] for more damage.
"Player has 3730 hp and 150 mp. Enemy has 1916 hp and 79 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 634 hp and 19 mp. Enemy has 514 hp and 701 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [grenade],Consider using [grenade] for more damage.
"Player has 1514 hp and 67 mp. Enemy has 2078 hp and 384 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 2195 hp and 125 mp. Enemy has 2926 hp and 333 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [elixer],Consider using [meteor spell] for more damage.
"Player has 547 hp and 77 mp. Enemy has 3632 hp and 13 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [elixer],You should use [cura spell] to heal more HP.
"Player has 4200 hp and 115 mp. Enemy has 1677 hp and 791 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [thunder spell],Consider using [meteor spell] for more damage.
"Player has 3936 hp and 140 mp. Enemy has 2532 hp and 535 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 617 hp and 92 mp. Enemy has 2254 hp and 61 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [cura spell],You should use [cura spell] to heal more HP.
"Player has 1248 hp and 12 mp. Enemy has 4880 hp and 467 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [attack],Consider using [grenade] for more damage.
"Player has 885 hp and 88 mp. Enemy has 4527 hp and 27 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 2160 hp and 32 mp. Enemy has 2102 hp and 537 mp. Available actions: attack, fire spell, thunder spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [fire spell],Consider using [thunder spell] for more damage.
"Player has 3648 hp and 29 mp. Enemy has 1441 hp and 183 mp. Available actions: attack, fire spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [potion],Consider using [fire spell] for more damage.
"Player has 1725 hp and 31 mp. Enemy has 3892 hp and 48 mp. Available actions: attack, fire spell, thunder spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [grenade],Consider using [thunder spell] for more damage.
"Player has 3932 hp and 54 mp. Enemy has 1748 hp and 312 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 1320 hp and 144 mp. Enemy has 2345 hp and 136 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 945 hp and 27 mp. Enemy has 1426 hp and 185 mp. Available actions: attack, fire spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [fire spell] for more damage.
"Player has 2295 hp and 1 mp. Enemy has 4587 hp and 108 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [grenade],Consider using [grenade] for more damage.
"Player has 285 hp and 107 mp. Enemy has 1778 hp and 60 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [fire spell],You should use [cura spell] to heal more HP.
"Player has 4922 hp and 133 mp. Enemy has 1655 hp and 790 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [elixer],Consider using [meteor spell] for more damage.
"Player has 3842 hp and 146 mp. Enemy has 2442 hp and 109 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 3241 hp and 25 mp. Enemy has 112 hp and 678 mp. Available actions: attack, fire spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [elixer],Consider using [fire spell] for more damage.
"Player has 2663 hp and 62 mp. Enemy has 1331 hp and 482 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 2568 hp and 109 mp. Enemy has 113 hp and 362 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 4807 hp and 120 mp. Enemy has 4063 hp and 380 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 3739 hp and 37 mp. Enemy has 1247 hp and 567 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [blizzard spell],Consider using [blizzard spell] for more damage.
"Player has 4931 hp and 89 mp. Enemy has 1995 hp and 298 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [thunder spell],Consider using [meteor spell] for more damage.
"Player has 2034 hp and 87 mp. Enemy has 2522 hp and 306 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 3215 hp and 20 mp. Enemy has 665 hp and 653 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [grenade],Consider using [grenade] for more damage.
"Player has 2305 hp and 20 mp. Enemy has 4333 hp and 164 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [elixer],Consider using [grenade] for more damage.
"Player has 480 hp and 0 mp. Enemy has 2112 hp and 465 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [elixer],You should use [elixer] to fully restore health and MP.
"Player has 3288 hp and 9 mp. Enemy has 2384 hp and 477 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [grenade],Consider using [grenade] for more damage.
"Player has 1941 hp and 132 mp. Enemy has 4203 hp and 264 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 4649 hp and 96 mp. Enemy has 3162 hp and 451 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [thunder spell],Consider using [meteor spell] for more damage.
"Player has 797 hp and 105 mp. Enemy has 3431 hp and 51 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [blizzard spell],You should use [cura spell] to heal more HP.
"Player has 848 hp and 95 mp. Enemy has 2629 hp and 370 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 3625 hp and 144 mp. Enemy has 618 hp and 455 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [attack],Consider using [meteor spell] for more damage.
"Player has 4311 hp and 87 mp. Enemy has 2338 hp and 281 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 2040 hp and 132 mp. Enemy has 3184 hp and 62 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 2491 hp and 96 mp. Enemy has 1907 hp and 397 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [attack],Consider using [meteor spell] for more damage.
"Player has 3424 hp and 102 mp. Enemy has 3653 hp and 165 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 2304 hp and 34 mp. Enemy has 4889 hp and 203 mp. Available actions: attack, fire spell, thunder spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [elixer],Consider using [thunder spell] for more damage.
"Player has 705 hp and 142 mp. Enemy has 4076 hp and 666 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [cura spell],You should use [cura spell] to heal more HP.
"Player has 2791 hp and 88 mp. Enemy has 4684 hp and 331 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 1931 hp and 66 mp. Enemy has 2180 hp and 312 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [attack],Consider using [meteor spell] for more damage.
"Player has 4190 hp and 103 mp. Enemy has 2678 hp and 26 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 3894 hp and 134 mp. Enemy has 2039 hp and 381 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 1141 hp and 16 mp. Enemy has 3288 hp and 435 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [potion],Consider using [grenade] for more damage.
"Player has 3874 hp and 92 mp. Enemy has 3641 hp and 642 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [elixer],Consider using [meteor spell] for more damage.
"Player has 1710 hp and 150 mp. Enemy has 2706 hp and 774 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 4439 hp and 83 mp. Enemy has 1869 hp and 169 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
